"Department","Province","District","Month","Year","IncidenceCount","X._Pop_1_NBI","X._Inadq_Housing","X._Overcrowding","X._Pop_No_Hygeine","X._High_Econ_Depend","X._Pop_No_pubwater","X._No_Light","X._Homes_Dirt_Floor","X._Homes_Firewood","X._no_computer","X._no_cellphone","X._no_internet","X._Homes_1_room","X._Difficulty_Moving","X._limited_interact_wothes","Illiteracy_Rate","Precipitation","Temperature","Wind_Speed","Wind_Direction_Degrees","Relative_Humidity"
"LIMA","LIMA","ATE","November",2020,0,0.18,0.058,0.104,0.011,0.011,0.09012038026,0.06698047282,0.08431892198,0.02181410431,0.5476255417,0.07180652787,0.6115404431,0.2191764566,0.02086295636,0.00933918117,0.07191303013,0.2,18.3339360222531,1.72545201668985,168.09735744089,76.3727399165508
"LIMA","LIMA","ATE","December",2020,0,0.18,0.058,0.104,0.011,0.011,0.09012038026,0.06698047282,0.08431892198,0.02181410431,0.5476255417,0.07180652787,0.6115404431,0.2191764566,0.02086295636,0.00933918117,0.07191303013,4.8,20.0418010752688,1.70147849462366,164.961021505376,80.6491935483871
"LIMA","LIMA","ATE","January",2021,1,0.18,0.058,0.104,0.011,0.011,0.09012038026,0.06698047282,0.08431892198,0.02181410431,0.5476255417,0.07180652787,0.6115404431,0.2191764566,0.02086295636,0.00933918117,0.07191303013,3.7,22.1975806451613,1.47822580645161,166.290322580645,72.5685483870968
"LIMA","LIMA","ATE","February",2021,0,0.18,0.058,0.104,0.011,0.011,0.09012038026,0.06698047282,0.08431892198,0.02181410431,0.5476255417,0.07180652787,0.6115404431,0.2191764566,0.02086295636,0.00933918117,0.07191303013,0.1,23.3741071428571,1.41904761904762,181.97619047619,62.6607142857143
"LIMA","LIMA","ATE","March",2021,2,0.18,0.058,0.104,0.011,0.011,0.09012038026,0.06698047282,0.08431892198,0.02181410431,0.5476255417,0.07180652787,0.6115404431,0.2191764566,0.02086295636,0.00933918117,0.07191303013,1.2,23.9963709677419,1.46706989247312,175.264784946237,62.0013440860215
"LIMA","LIMA","ATE","April",2021,9,0.18,0.058,0.104,0.011,0.011,0.09012038026,0.06698047282,0.08431892198,0.02181410431,0.5476255417,0.07180652787,0.6115404431,0.2191764566,0.02086295636,0.00933918117,0.07191303013,1.1,22.0866666666667,1.41416666666667,172.358333333333,68.9805555555556
"LIMA","LIMA","ATE","May",2021,7,0.18,0.058,0.104,0.011,0.011,0.09012038026,0.06698047282,0.08431892198,0.02181410431,0.5476255417,0.07180652787,0.6115404431,0.2191764566,0.02086295636,0.00933918117,0.07191303013,0.3,18.9254032258065,1.33172043010753,175.353494623656,78.5376344086021
"LIMA","LIMA","ATE","June",2021,0,0.18,0.058,0.104,0.011,0.011,0.09012038026,0.06698047282,0.08431892198,0.02181410431,0.5476255417,0.07180652787,0.6115404431,0.2191764566,0.02086295636,0.00933918117,0.07191303013,0.4,16.2454166666667,1.14166666666667,185.006944444444,89.3041666666667
"LIMA","LIMA","ATE","July",2021,0,0.18,0.058,0.104,0.011,0.011,0.09012038026,0.06698047282,0.08431892198,0.02181410431,0.5476255417,0.07180652787,0.6115404431,0.2191764566,0.02086295636,0.00933918117,0.07191303013,0.1,15.6409946236559,1.13387096774194,177.790322580645,87.2016129032258
"LIMA","LIMA","ATE","August",2021,0,0.18,0.058,0.104,0.011,0.011,0.09012038026,0.06698047282,0.08431892198,0.02181410431,0.5476255417,0.07180652787,0.6115404431,0.2191764566,0.02086295636,0.00933918117,0.07191303013,0,16.1991924629879,1.21628532974428,164.084791386272,83.2543741588156
"LIMA","LIMA","ATE","September",2021,0,0.18,0.058,0.104,0.011,0.011,0.09012038026,0.06698047282,0.08431892198,0.02181410431,0.5476255417,0.07180652787,0.6115404431,0.2191764566,0.02086295636,0.00933918117,0.07191303013,0,17.1973611111111,1.35958333333333,155.077777777778,77.1805555555556
"LIMA","LIMA","ATE","October",2021,0,0.18,0.058,0.104,0.011,0.011,0.09012038026,0.06698047282,0.08431892198,0.02181410431,0.5476255417,0.07180652787,0.6115404431,0.2191764566,0.02086295636,0.00933918117,0.07191303013,0,18.1595430107527,1.53951612903226,152.903225806452,74.3037634408602
